date,hour,price,load_da,load_real,day_of_week
20220101,0,50.05,41989.5,43915.5,6
20220101,1,41.33,40105.5,41535.75,6
20220101,2,43.22,38784,40480.75,6
20220101,3,45.46,37751,39564,6
20220101,4,37.67,37877.25,39338.25,6
20220101,5,39.7,37047.75,38826.5,6
20220101,6,40.59,35607,38413,6
20220101,7,43.26,36905.75,39086.75,6
20220101,8,49.66,39465.25,40305,6
20220101,9,70.05,42335.75,42511,6
20220101,10,76.79,44777,44382.5,6
20220101,11,84.1,47649,46732.25,6
20220101,12,94.74,48608.5,47314.75,6
20220101,13,96.8,47331.25,46391.75,6
20220101,14,97.17,46064.5,45729.25,6
20220101,15,101,45934.5,45663,6
20220101,16,126.6,47765.25,47864,6
20220101,17,149.97,50899.25,51405,6
20220101,18,146.33,51889.5,52287.75,6
20220101,19,140.28,50618.75,51321.25,6
20220101,20,121.88,48448.5,49466,6
20220101,21,102.61,47135.75,48009.25,6
20220101,22,97.46,46635,47437.25,6
20220101,23,85.16,44251,44832,6
20220102,0,57.08,45268.75,42674.25,7
20220102,1,52.59,44192,41513.25,7
20220102,2,48.97,43833.75,40795.5,7
20220102,3,34.94,43677,40566.5,7
20220102,4,29.56,44285.5,40742.5,7
20220102,5,33.97,44142.25,40775.5,7
20220102,6,34.52,43777.25,40405.75,7
20220102,7,41.8,44556,42254.25,7
20220102,8,48.95,47161.5,45418.25,7
20220102,9,60.01,50689,48344,7
20220102,10,70.09,52986,50584,7
20220102,11,66.26,55138.75,53645.75,7
20220102,12,64.54,55285.25,54538.5,7
20220102,13,46.96,54394.25,53342.75,7
20220102,14,40.01,53391.5,52709,7
20220102,15,29.11,52753,53245.75,7
20220102,16,32.76,54016.25,55536.5,7
20220102,17,42.97,56906,58611.75,7
20220102,18,60.96,58009.75,58765.5,7
20220102,19,60.94,57553.75,57348.5,7
20220102,20,54.12,55727.75,54782.25,7
20220102,21,46.16,53958,52456,7
20220102,22,46.29,53507,50894.75,7
20220102,23,32.93,50845.5,47862.25,7
20220103,0,0.31,48840.75,45379.75,1
20220103,1,-0.01,47141,43676.75,1
20220103,2,-0.07,46534.25,42606.5,1
20220103,3,-1.05,46908.75,43139.25,1
20220103,4,-1,48326.25,44606.25,1
20220103,5,0.32,51156.25,48399.25,1
20220103,6,37.55,56560.5,55425.75,1
20220103,7,88.76,61269,61601,1
20220103,8,122.93,63817,65032.75,1
20220103,9,110.17,65041.5,66440.75,1
20220103,10,93.38,65353.75,67857,1
20220103,11,90.73,66825,69433.5,1
20220103,12,82.37,67169.5,70097.25,1
20220103,13,80.9,66337.5,69303,1
20220103,14,80.99,65081.5,68287.5,1
20220103,15,98.05,64271.5,67281,1
20220103,16,123.51,65177.75,67884.75,1
20220103,17,148.49,67144.75,70147.75,1
20220103,18,138,67082.5,69958.25,1
20220103,19,117.64,66356.5,68037.5,1
20220103,20,117.71,64112.5,64029.75,1
20220103,21,95.95,61847.5,60208.5,1
20220103,22,105.68,59460.5,57344,1
20220103,23,95.26,55855,53664.5,1
20220104,0,103.7,53400,50704.25,2
20220104,1,108.27,51409.75,48451,2
20220104,2,105.92,50696.75,47652.75,2
