date,hour,price,load_da,load_real,day_of_week
20110101,0,43.17,15187.0,5091.0,6
20110101,1,36.24,14464.0,4918.0,6
20110101,2,34.64,13940.0,4763.0,6
20110101,3,33.76,13609.0,4660.0,6
20110101,4,33.08,13391.0,4599.0,6
20110101,5,32.37,13068.0,4497.0,6
20110101,6,34.66,13060.0,4378.0,6
20110101,7,38.97,13570.0,4330.0,6
20110101,8,42.9,14099.0,4423.0,6
20110101,9,45.29,14662.0,4604.0,6
20110101,10,46.57,15135.0,4791.0,6
20110101,11,46.45,15423.0,4923.0,6
20110101,12,45.01,15419.0,4965.0,6
20110101,13,42.51,15362.0,4967.0,6
20110101,14,41.13,15273.0,4954.0,6
20110101,15,43.5,15299.0,4959.0,6
20110101,16,55.36,15880.0,5062.0,6
20110101,17,62.73,17122.0,5329.0,6
20110101,18,58.08,17164.0,5396.0,6
20110101,19,55.43,16832.0,5329.0,6
20110101,20,49.33,16506.0,5245.0,6
20110101,21,44.32,16171.0,5171.0,6
20110101,22,42.19,15626.0,5091.0,6
20110101,23,39.23,14887.0,4940.0,6
20110102,0,42.48,13565.0,4514.0,7
20110102,1,36.94,13235.0,4448.0,7
20110102,2,33.81,13056.0,4396.0,7
20110102,3,32.54,12954.0,4375.0,7
20110102,4,31.16,12817.0,4330.0,7
20110102,5,30.67,12609.0,4223.0,7
20110102,6,36.07,12829.0,4190.0,7
20110102,7,35.19,13499.0,4276.0,7
20110102,8,35.9,14179.0,4452.0,7
20110102,9,39.44,14886.0,4709.0,7
20110102,10,39.97,15422.0,4928.0,7
20110102,11,40.54,15716.0,5079.0,7
20110102,12,40.39,15751.0,5151.0,7
20110102,13,39.86,15695.0,5163.0,7
20110102,14,39.39,15629.0,5171.0,7
20110102,15,41.1,15714.0,5180.0,7
20110102,16,53.75,16452.0,5320.0,7
20110102,17,68.77,18125.0,5694.0,7
20110102,18,66.65,18455.0,5806.0,7
20110102,19,62.84,18311.0,5795.0,7
20110102,20,56.55,18040.0,5755.0,7
20110102,21,47.56,17485.0,5662.0,7
20110102,22,40.47,16596.0,5486.0,7
20110102,23,40.33,15599.0,5231.0,7
20110103,0,39.7,14952.0,4977.0,1
20110103,1,36.75,14384.0,4774.0,1
20110103,2,33.87,14131.0,4654.0,1
20110103,3,33.79,14065.0,4598.0,1
20110103,4,34.28,14241.0,4600.0,1
20110103,5,40.5,15043.0,4757.0,1
20110103,6,49.9,16710.0,5180.0,1
20110103,7,55.53,18138.0,5661.0,1
20110103,8,54.03,18637.0,5969.0,1
20110103,9,55.44,19009.0,6227.0,1
20110103,10,58.89,19236.0,6372.0,1
20110103,11,58.53,19259.0,6443.0,1
20110103,12,54.75,19128.0,6457.0,1
20110103,13,51.65,19019.0,6448.0,1
20110103,14,51.11,18871.0,6443.0,1
20110103,15,51.46,18877.0,6445.0,1
20110103,16,61.69,19580.0,6587.0,1
20110103,17,76.0,21283.0,6867.0,1
20110103,18,68.47,21502.0,6828.0,1
20110103,19,78.12,21092.0,6680.0,1
20110103,20,62.25,20523.0,6506.0,1
20110103,21,51.06,19512.0,6260.0,1
20110103,22,46.4,18044.0,5927.0,1
20110103,23,45.98,16495.0,5487.0,1
20110104,0,41.3,15621.0,5113.0,2
20110104,1,38.79,14947.0,4862.0,2
20110104,2,37.83,14613.0,4715.0,2
20110104,3,36.53,14478.0,4639.0,2
20110104,4,36.79,14611.0,4626.0,2
20110104,5,41.48,15430.0,4798.0,2
20110104,6,50.09,17068.0,5233.0,2
20110104,7,54.54,18363.0,5705.0,2
20110104,8,52.81,18759.0,5994.0,2
20110104,9,55.22,19047.0,6228.0,2
20110104,10,58.05,19248.0,6367.0,2
20110104,11,54.95,19243.0,6428.0,2
20110104,12,54.79,19089.0,6430.0,2
20110104,13,53.17,18979.0,6420.0,2
20110104,14,53.14,18834.0,6411.0,2
20110104,15,52.51,18865.0,6421.0,2
20110104,16,55.35,19558.0,6563.0,2
20110104,17,69.7,21230.0,6848.0,2
20110104,18,66.17,21386.0,6801.0,2
20110104,19,61.28,20965.0,6647.0,2
20110104,20,62.35,20378.0,6461.0,2
20110104,21,53.09,19350.0,6203.0,2
20110104,22,45.42,17891.0,5867.0,2
20110104,23,44.76,16315.0,5414.0,2
20110105,0,40.14,15516.0,5057.0,3
20110105,1,39.33,14900.0,4835.0,3
20110105,2,37.25,14588.0,4703.0,3
20110105,3,36.42,14435.0,4625.0,3
20110105,4,36.4,14543.0,4605.0,3
20110105,5,39.44,15318.0,4769.0,3
20110105,6,50.33,16863.0,5199.0,3
20110105,7,62.07,18087.0,5653.0,3
20110105,8,62.12,18530.0,5938.0,3
20110105,9,62.74,18908.0,6181.0,3
20110105,10,63.0,19193.0,6332.0,3
20110105,11,61.27,19263.0,6406.0,3
20110105,12,60.38,19183.0,6424.0,3
20110105,13,56.47,19102.0,6418.0,3
20110105,14,59.39,19001.0,6423.0,3
20110105,15,58.9,19046.0,6435.0,3
20110105,16,64.19,19729.0,6575.0,3
20110105,17,86.52,21388.0,6858.0,3
20110105,18,80.22,21590.0,6819.0,3
20110105,19,68.11,21207.0,6671.0,3
20110105,20,64.2,20662.0,6497.0,3
20110105,21,62.65,19710.0,6270.0,3
20110105,22,50.02,18315.0,5955.0,3
20110105,23,47.94,16789.0,5524.0,3
20110106,0,43.84,15878.0,5159.0,4
20110106,1,40.57,15178.0,4897.0,4
20110106,2,39.75,14819.0,4745.0,4
20110106,3,38.67,14663.0,4660.0,4
20110106,4,37.67,14817.0,4647.0,4
20110106,5,41.14,15676.0,4836.0,4
20110106,6,50.32,17367.0,5308.0,4
20110106,7,62.0,18699.0,5817.0,4
20110106,8,62.01,19109.0,6124.0,4
20110106,9,63.34,19449.0,6378.0,4
20110106,10,65.06,19654.0,6524.0,4
